date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:26:32	554/554	---M-Z	200	added ('OK')	image/svg+xml	etag:%2222a-61ec1ca180488%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a3.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a3.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:33	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61ec137ec2058%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a2.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a2.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:33	483/483	---M-Z	200	added ('OK')	image/svg+xml	etag:%221e3-61ec151324ba0%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a2.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a2.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:34	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61ead28079cf8%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a1.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a1.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:34	412/412	---M-Z	200	added ('OK')	image/svg+xml	etag:%2219c-61ec12fae1c48%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a1.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a1.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:35	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61ec130234c48%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-a.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:35	332/332	---M-Z	200	added ('OK')	image/svg+xml	etag:%2214c-61ec0fbc0f950%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-a.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:37	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61e9893888948%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-b.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-b.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:37	566/566	---M-Z	200	added ('OK')	image/svg+xml	etag:%22236-61ec0f6c05978%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-b.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-b.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:38	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61ec1454702b8%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-c.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-c.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:38	666/666	---M-Z	200	added ('OK')	image/svg+xml	etag:%2229a-61ec15b1e9420%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-c.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/energy-rating-c.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
11:26:39	163/163	---M-Z	200	added ('OK')	image/svg+xml	etag:%22a3-61ec121048a38%22	https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-d.svg	C:/foldPage/Fold6/www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-common/resources/images/badge-container-d.svg	(from https://www.samsung.com/etc.clientlibs/samsung/clientlibs/consumer/global/clientlib-base-new-gnb.min.0caf8ca1a3d3690805e309aaa0229de4.css)
